r,parity_prefix_int,parity_prefix_bin,popcount
12735,762815,10111010001110111111,14
12767,694175,10101001011110011111,13
12783,433903,01101001111011101111,14
12891,671163,10100011110110111011,13
12927,289663,01000110101101111111,13
12955,745339,10110101111101111011,15
12959,883167,11010111100111011111,15
12991,831167,11001010111010111111,14
13039,294383,01000111110111101111,14
13055,113407,00011011101011111111,14
13083,902139,11011100001111111011,14
13183,374399,01011011011001111111,14
13247,576959,10001100110110111111,13
13311,988159,11110001001111111111,15
13343,225119,00110110111101011111,14
13403,916411,11011111101110111011,16
13415,816887,11000111011011110111,14
13423,1045359,11111111001101101111,16
13439,644479,10011101010101111111,14
13503,521407,01111111010010111111,15
13543,261495,00111111110101110111,15
13551,147439,00100011111111101111,14
13759,831423,11001010111110111111,15
13775,507599,01111011111011001111,15
13791,682911,10100110101110011111,13
13823,516607,01111110000111111111,15
13983,523743,01111111110111011111,17
14055,244599,00111011101101110111,14
14079,726783,10110001011011111111,14
14107,511995,01111100111111111011,16
14191,253551,00111101111001101111,14
14247,163511,00100111111010110111,13
14335,321535,01001110011111111111,15
14367,488287,01110111001101011111,14
14427,98235,00010111111110111011,14
14447,1009519,11110110011101101111,15
14495,901087,11011011111111011111,17
14559,1029791,11111011011010011111,15
14575,879599,11010110101111101111,15
14591,776447,10111101100011111111,15
14619,373243,01011011000111111011,13
14655,366399,01011001011100111111,13
14663,417751,01100101111111010111,14
14695,911863,11011110100111110111,15
14719,1030271,11111011100001111111,15
14783,834495,11001011101110111111,15
14815,118687,00011100111110011111,13
14831,440047,01101011011011101111,14
14847,847359,11001110110111111111,16
14951,588023,10001111100011110111,13
14959,474479,01110011110101101111,14
14975,123775,00011110001101111111,13
15003,751483,10110111011101111011,15
15015,1007031,11110101110110110111,15
15039,1025727,11111010011010111111,15
15055,744399,10110101101111001111,14
15079,114551,00011011111101110111,14
15087,710127,10101101010111101111,14
15099,224731,00110110110111011011,13
15131,515067,01111101101111111011,16
15135,220767,00110101111001011111,13
15327,775583,10111101010110011111,14
15359,433151,01101001101111111111,15
15387,640763,10011100011011111011,13
15391,321375,01001110011101011111,13
15463,863991,11010010111011110111,14
15471,457583,01101111101101101111,15
15519,1043423,11111110101111011111,17
15527,498615,01111001101110110111,14
15551,982207,11101111110010111111,16
15611,764891,10111010101111011011,14
15615,204031,00110001110011111111,13
15663,310959,01001011111010101111,13
15679,355135,01010110101100111111,13
15719,609783,10010100110111110111,13
15871,850431,11001111100111111111,16
15899,974075,11101101110011111011,15
15903,834911,11001011110101011111,14
15975,685303,10100111010011110111,13
15999,192383,00101110111101111111,15
16063,834239,11001011101010111111,14
16111,371183,01011010100111101111,13
16127,696063,10101001111011111111,15
16155,473083,01110011011111111011,15
16219,511675,01111100111010111011,14
16231,929783,11100010111111110111,15
16255,422527,01100111001001111111,13
16319,580031,10001101100110111111,13
16367,440559,01101011100011101111,13
16379,521947,01111111011011011011,15
16383,933887,11100011111111111111,17
16415,228191,00110111101101011111,14
16447,964159,11101011011000111111,14
16475,645051,10011101011110111011,14
16495,687983,10100111111101101111,15
16539,522619,01111111100101111011,15
16551,221111,00110101111110110111,14
16607,933535,11100011111010011111,14
16623,189423,00101110001111101111,13
16703,708415,10101100111100111111,14
16711,423895,01100111011111010111,14
16879,93935,00010110111011101111,13
16895,972287,11101101010111111111,16
16987,683451,10100110110110111011,13
17023,195455,00101111101101111111,15
17051,929659,11100010111101111011,14
17087,48831,00001011111010111111,13
17151,740095,10110100101011111111,14
17179,521211,01111111001111111011,16
17243,490171,01110111101010111011,14
17255,932855,11100011101111110111,15
17279,386687,01011110011001111111,14
17343,662975,10100001110110111111,13
17407,451583,01101110001111111111,15
17435,777979,10111101111011111011,16
17439,393055,01011111111101011111,16
17563,488827,01110111010101111011,14
17647,520175,01111110111111101111,17
17663,210175,00110011010011111111,13
17691,998907,11110011110111111011,16
17791,900223,11011011110001111111,15
17823,257759,00111110111011011111,15
17855,892863,11011001111110111111,16
17871,519887,01111110111011001111,15
17887,121759,00011101101110011111,13
17895,899703,11011011101001110111,14
17903,619247,10010111001011101111,13
17919,479743,01110101000111111111,14
17967,630703,10011001111110101111,14
18023,294135,01000111110011110111,13
18047,579455,10001101011101111111,14
18075,1028987,11111011001101111011,15
18151,256887,00111110101101110111,14
18175,714495,10101110011011111111,15
18203,163835,00100111111111111011,15
18247,719319,10101111100111010111,14
18267,325307,01001111011010111011,13
18279,956407,11101001011111110111,15
18335,636127,10011011010011011111,13
18427,982747,11101111111011011011,16
18431,776191,10111101011111111111,17
18495,605759,10010011111000111111,13
18535,867063,11010011101011110111,14
18543,841583,11001101011101101111,14
18591,749535,10110110111111011111,16
18599,227255,00110111011110110111,14
18671,523247,01111111101111101111,17
18683,772059,10111100011111011011,14
18759,470999,01110010111111010111,14
18791,612855,10010101100111110111,13
18843,761467,10111001111001111011,14
18847,979679,11101111001011011111,15
18911,335775,01010001111110011111,13
18927,452335,01101110011011101111,14
18943,253439,00111101110111111111,16
19055,486767,01110110110101101111,14
19071,349055,01010101001101111111,13
19103,905695,11011101000111011111,14
19175,741239,10110100111101110111,14
19183,378351,01011100010111101111,13
19195,581083,10001101110111011011,13
19227,502779,01111010101111111011,15
19263,892223,11011001110100111111,14
19327,458367,01101111111001111111,16
19391,669119,10100011010110111111,13
19439,965871,11101011110011101111,15
19455,822271,11001000101111111111,14
19483,784123,10111111011011111011,16
19487,415583,01100101011101011111,13
19559,147191,00100011111011110111,13
19567,1026927,11111010101101101111,15
19583,56703,00001101110101111111,13
19611,228731,00110111110101111011,14
19615,752607,10110111101111011111,16
19647,502975,01111010110010111111,14
19695,514031,01111101011111101111,16
19711,191743,00101110110011111111,14
19759,323247,01001110111010101111,13
19775,711487,10101101101100111111,14
19815,433655,01101001110111110111,14
19903,911295,11011110011110111111,16
19951,97007,00010111101011101111,13
19967,494079,01111000100111111111,14
19999,847199,11001110110101011111,14
20015,636847,10011011011110101111,14
20095,384895,01011101111101111111,16
20123,932731,11100011101101111011,14
20135,1046967,11111111100110110111,16
20159,846527,11001110101010111111,14
20175,1011663,11110110111111001111,16
20251,509947,01111100011111111011,15
20255,784991,10111111101001011111,15
20315,130747,00011111111010111011,14
20327,598007,10010001111111110111,14
20335,259695,00111111011001101111,14
20415,248255,00111100100110111111,13
20479,675839,10100100111111111111,15
20639,939999,11100101011111011111,15
20647,405431,01100010111110110111,13
20703,945823,11100110111010011111,14
20731,909275,11011101111111011011,16
20735,782591,10111111000011111111,15
20895,260831,00111111101011011111,15
20959,341919,01010011011110011111,13
